legacy_file,legacy_url,classification,title,h1,template_family,database_dependency,proposed_wordpress_type,preserve_url,migration_priority,notes,related_product_ids,classification_confidence,evidence
system/backoffice/user.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,administración / template; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/backoffice/user.php
system/Categorias.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,endpoint / código interno; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/Categorias.php
system/common.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,configuración / bootstrap; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/common.php
system/debug.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,endpoint / código interno; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/debug.php
system/file.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,endpoint / código interno; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/file.php
system/index.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,endpoint / código interno; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/index.php
system/libs/CoreLibrary/_DB.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/_DB.class.php
system/libs/CoreLibrary/Application.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/Application.class.php
system/libs/CoreLibrary/Authentification.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/Authentification.class.php
system/libs/CoreLibrary/Banamex.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/Banamex.class.php
system/libs/CoreLibrary/Config.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/Config.class.php
system/libs/CoreLibrary/DB/Connections/LocalHostDB.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/DB/Connections/LocalHostDB.class.php
system/libs/CoreLibrary/DB/DAO/_AdvancedDAO.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/DB/DAO/_AdvancedDAO.class.php
system/libs/CoreLibrary/DB/DAO/_FileDAO.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/DB/DAO/_FileDAO.class.php
system/libs/CoreLibrary/DB/DAO/_GenericDAO.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/DB/DAO/_GenericDAO.class.php
system/libs/CoreLibrary/DB/DAO/AdvancedDAO.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/DB/DAO/AdvancedDAO.class.php
system/libs/CoreLibrary/DB/DAO/FileDAO.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/DB/DAO/FileDAO.class.php
system/libs/CoreLibrary/DB/DAO/GenericDAO.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/DB/DAO/GenericDAO.class.php
system/libs/CoreLibrary/DB/DAO/Timestampable.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/DB/DAO/Timestampable.class.php
system/libs/CoreLibrary/DB/DBConnection.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/DB/DBConnection.class.php
system/libs/CoreLibrary/DB/DBStrategy.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/DB/DBStrategy.class.php
system/libs/CoreLibrary/DB/MySQLStrategy.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/DB/MySQLStrategy.class.php
system/libs/CoreLibrary/DB.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/DB.class.php
system/libs/CoreLibrary/DBPEAR.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/DBPEAR.class.php
system/libs/CoreLibrary/ExcelWriter.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/ExcelWriter.class.php
system/libs/CoreLibrary/ExceptionHandler.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/ExceptionHandler.class.php
system/libs/CoreLibrary/Exceptions/ClassNotFoundException.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/Exceptions/ClassNotFoundException.class.php
system/libs/CoreLibrary/Exceptions/ErrorException2.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/Exceptions/ErrorException2.class.php
system/libs/CoreLibrary/Exceptions/MySQLException.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/Exceptions/MySQLException.class.php
system/libs/CoreLibrary/Exceptions/SQLException.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/Exceptions/SQLException.class.php
system/libs/CoreLibrary/Exceptions/WrongDataTypeException.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/Exceptions/WrongDataTypeException.class.php
system/libs/CoreLibrary/GUI/Calendar/CalendarApplication.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/Calendar/CalendarApplication.class.php
system/libs/CoreLibrary/GUI/Calendar/CalendarLanguage.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/Calendar/CalendarLanguage.class.php
system/libs/CoreLibrary/GUI/Calendar/CalendarLanguageSpanish.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/Calendar/CalendarLanguageSpanish.class.php
system/libs/CoreLibrary/GUI/Calendar/CalendarMonthDayColoring.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/Calendar/CalendarMonthDayColoring.class.php
system/libs/CoreLibrary/GUI/Calendar/CalendarMonthDayView.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/Calendar/CalendarMonthDayView.class.php
system/libs/CoreLibrary/GUI/Calendar/CalendarMonthSmallView.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/Calendar/CalendarMonthSmallView.class.php
system/libs/CoreLibrary/GUI/Calendar/CalendarMonthView.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/Calendar/CalendarMonthView.class.php
system/libs/CoreLibrary/GUI/Calendar/CalendarTools.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/Calendar/CalendarTools.class.php
system/libs/CoreLibrary/GUI/Calendar/CalendarView.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/Calendar/CalendarView.class.php
system/libs/CoreLibrary/GUI/Calendar/DB/CalendarEventsDAO.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/Calendar/DB/CalendarEventsDAO.class.php
system/libs/CoreLibrary/GUI/ListPanel/Action.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/ListPanel/Action.class.php
system/libs/CoreLibrary/GUI/ListPanel/Decorator/Decorator.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/ListPanel/Decorator/Decorator.class.php
system/libs/CoreLibrary/GUI/ListPanel/Decorator/Pager.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/ListPanel/Decorator/Pager.class.php
system/libs/CoreLibrary/GUI/ListPanel/Decorator/PagerTemplate.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/ListPanel/Decorator/PagerTemplate.class.php
system/libs/CoreLibrary/GUI/ListPanel/Decorator/RowActions.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/ListPanel/Decorator/RowActions.class.php
system/libs/CoreLibrary/GUI/ListPanel/Decorator/RowActionsTemplate.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/ListPanel/Decorator/RowActionsTemplate.class.php
system/libs/CoreLibrary/GUI/ListPanel/Decorator/Searcher.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/ListPanel/Decorator/Searcher.class.php
system/libs/CoreLibrary/GUI/ListPanel/Decorator/SearcherTemplate.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/ListPanel/Decorator/SearcherTemplate.class.php
system/libs/CoreLibrary/GUI/ListPanel/Decorator/Sorter.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/ListPanel/Decorator/Sorter.class.php
system/libs/CoreLibrary/GUI/ListPanel/Decorator/SorterTemplate.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/ListPanel/Decorator/SorterTemplate.class.php
system/libs/CoreLibrary/GUI/ListPanel/Decorator/TemplateDecorator.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/ListPanel/Decorator/TemplateDecorator.class.php
system/libs/CoreLibrary/GUI/ListPanel/ListPanel.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/ListPanel/ListPanel.class.php
system/libs/CoreLibrary/GUI/ListPanel/Template.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/GUI/ListPanel/Template.class.php
system/libs/CoreLibrary/IO/FileApplication.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/IO/FileApplication.class.php
system/libs/CoreLibrary/IO/FileSaver.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/IO/FileSaver.class.php
system/libs/CoreLibrary/IO/FileViewer.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/IO/FileViewer.class.php
system/libs/CoreLibrary/IO/ImageFileApplication.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/IO/ImageFileApplication.class.php
system/libs/CoreLibrary/IO/ImageFileViewer.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/IO/ImageFileViewer.class.php
system/libs/CoreLibrary/LoginApplication.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/LoginApplication.class.php
system/libs/CoreLibrary/Mailer.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/Mailer.class.php
system/libs/CoreLibrary/NestedException.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/NestedException.class.php
system/libs/CoreLibrary/Objeto.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/Objeto.class.php
system/libs/CoreLibrary/PaymentGateway/PayFlow/Exception.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/PaymentGateway/PayFlow/Exception.class.php
system/libs/CoreLibrary/PaymentGateway/PayFlow/Pro/Result/Approved.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/PaymentGateway/PayFlow/Pro/Result/Approved.class.php
system/libs/CoreLibrary/PaymentGateway/PayFlow/Pro/Result/Declined.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/PaymentGateway/PayFlow/Pro/Result/Declined.class.php
system/libs/CoreLibrary/PaymentGateway/PayFlow/Pro/Transaction/RecurrentBilling.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/PaymentGateway/PayFlow/Pro/Transaction/RecurrentBilling.class.php
system/libs/CoreLibrary/PaymentGateway/PayFlow/Pro/Transaction.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/PaymentGateway/PayFlow/Pro/Transaction.class.php
system/libs/CoreLibrary/PaymentGateway/PayFlow/Pro.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/PaymentGateway/PayFlow/Pro.class.php
system/libs/CoreLibrary/PaymentGateway/PayFlow.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/PaymentGateway/PayFlow.php
system/libs/CoreLibrary/PaymentGateway/USAePay/Check.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/PaymentGateway/USAePay/Check.class.php
system/libs/CoreLibrary/PaymentGateway/USAePay/CreditCard.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/PaymentGateway/USAePay/CreditCard.class.php
system/libs/CoreLibrary/PaymentGateway/USAePay/RecurrentBilling.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/PaymentGateway/USAePay/RecurrentBilling.class.php
system/libs/CoreLibrary/PaymentGateway/USAePay/Result/Approved.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/PaymentGateway/USAePay/Result/Approved.class.php
system/libs/CoreLibrary/PaymentGateway/USAePay/Result/Declined.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/PaymentGateway/USAePay/Result/Declined.class.php
system/libs/CoreLibrary/PaymentGateway/USAePay.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/PaymentGateway/USAePay.class.php
system/libs/CoreLibrary/PayPalPro.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/PayPalPro.class.php
system/libs/CoreLibrary/PermissionStrategy.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/PermissionStrategy.class.php
system/libs/CoreLibrary/RestHTTP.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/RestHTTP.class.php
system/libs/CoreLibrary/Security/Authentification.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/Security/Authentification.class.php
system/libs/CoreLibrary/Security/CaptchaSecurityImage.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/Security/CaptchaSecurityImage.class.php
system/libs/CoreLibrary/Util/CountryISOCodes.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/Util/CountryISOCodes.class.php
system/libs/CoreLibrary/Util/Date.class.php,,LEGACY_INTERNAL,,,,Internal; see phase1 inventory,REVIEW_INTERNAL_FUNCTION,REVIEW,REVIEW,código interno / dependencia; no public route asserted,,CONFIRMED,docs/legacy-analysis/file-inventory.csv:system/libs/CoreLibrary/Util/Date.class.php
